id	type	attrs	wkt
B-10	building	use=residential;floors=5;addr=134 West 25th Street	POLYGON((-73.9933924 40.7444986, -73.9935532 40.7445664, -73.9934187 40.7447509, -73.9932579 40.7446832, -73.9933924 40.7444986))
B-11	building	use=residential;floors=6;addr=141 West 24th Street	POLYGON((-73.9939682 40.7443570, -73.9940794 40.7444039, -73.9939242 40.7446169, -73.9938509 40.7445860, -73.9938844 40.7445205, -73.9939441 40.7444385, -73.9939289 40.7444321, -73.9939682 40.7443570))
st-0	street	name=7th Avenue	LINESTRING(-73.9956382 40.7441065, -73.9957096 40.7440084, -73.9957128 40.7440040, -73.9959834 40.7436348)
st-1	street	name=7th Avenue	LINESTRING(-73.9952652 40.7446201, -73.9954016 40.7444330, -73.9955684 40.7442028, -73.9956382 40.7441065)
st-2	street	name=7th Avenue	LINESTRING(-73.9938130 40.7466180, -73.9938542 40.7465616, -73.9941150 40.7462049)
st-3	street	name=West 23rd Street	LINESTRING(-73.9984720 40.7453054, -73.9983423 40.7452505, -73.9957714 40.7441628, -73.9956382 40.7441065)
st-4	street	name=West 23rd Street	LINESTRING(-73.9952122 40.7439222, -73.9934984 40.7432010, -73.9934349 40.7431756, -73.9933662 40.7431503, -73.9932943 40.7431250, -73.9932219 40.7430966)
st-5	street	name=West 25th Street	LINESTRING(-73.9891631 40.7430428, -73.9892346 40.7430737, -73.9905050 40.7436104, -73.9917375 40.7441297, -73.9918710 40.7441860, -73.9920090 40.7442442, -73.9945914 40.7453334, -73.9947090 40.7453830)
st-6	street	name=West 26th Street	LINESTRING(-73.9970852 40.7472165, -73.9969516 40.7471538, -73.9953152 40.7464657, -73.9946940 40.7462031)
st-7	street	name=6th Avenue	LINESTRING(-73.9927979 40.7429103, -73.9927315 40.7430014, -73.9923587 40.7435122, -73.9923179 40.7435682, -73.9922665 40.7436419, -73.9919775 40.7440393)
st-8	street	name=West 22nd Street	LINESTRING(-73.9961302 40.7434315, -73.9960048 40.7433786, -73.9934289 40.7422922, -73.9932916 40.7422328)
st-9	street	name=7th Avenue	LINESTRING(-73.9959834 40.7436348, -73.9960853 40.7434930, -73.9961302 40.7434315)
st-10	street	name=7th Avenue	LINESTRING(-73.9941150 40.7462049, -73.9942171 40.7460654, -73.9942525 40.7460176)
st-11	street	name=West 26th Street	LINESTRING(-73.9942525 40.7460176, -73.9941293 40.7459657, -73.9919405 40.7450423, -73.9915414 40.7448756, -73.9914085 40.7448186)
st-12	street	name=7th Avenue	LINESTRING(-73.9942525 40.7460176, -73.9943045 40.7459449, -73.9946615 40.7454490, -73.9947090 40.7453830)
st-13	street	name=7th Avenue	LINESTRING(-73.9950129 40.7449661, -73.9951079 40.7448354, -73.9951595 40.7447650)
